     ,FARCARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                           
     ,01/01/2011-01/07/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00061862,00001689,00000234,00000769,00000490,00019793,00032574,00000041,00000094,00001283,00000472,00001003,00000000,00001178,00005699,00000534,00000130,00000000,00000506,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00017280,00000534,00000044,00000148,00000042,00004097,00011013,00000010,00000014,00000280,00000048,00000367,00000000,00000095,00003795,00000101,00000044,00000000,00000103,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003682,00000088,00000012,00000023,00000000,00001475,00001249,00000000,00000003,00000097,00000000,00000016,00000000,00000014,00000209,00000015,00000006,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008745,00000236,00000013,00000144,00000000,00002691,00004055,00000000,00000001,00000156,00000006,00000045,00000000,00000002,00000482,00000029,00000008,00000000,00000028,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009647,00000375,00000022,00000165,00000000,00002860,00005280,00000001,00000003,00000161,00000001,00000036,00000000,00000002,00000414,00000010,00000014,00000000,00000032,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009744,00000353,00000045,00000129,00000000,00004200,00005324,00000000,00000004,00000239,00000004,00000084,00000000,00000008,00000647,00000035,00000035,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006828,00000215,00000038,00000048,00000012,00002188,00003247,00000006,00000000,00000113,00000002,00000057,00000000,00000003,00000295,00000006,00000010,00000000,00000013,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006485,00000232,00000029,00000051,00000005,00002070,00002535,00000004,00000004,00000065,00000001,00000062,00000000,00000004,00000281,00000004,00000004,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005395,00000195,00000019,00000071,00000002,00002070,00002576,00000000,00000004,00000139,00000001,00000031,00000000,00000000,00000252,00000019,00000012,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00074966,00002654,00000251,00000926,00000145,00026761,00046082,00000044,00000063,00002024,00000189,00000509,00000000,00000250,00002768,00000416,00000260,00000000,00000830,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00232852,00007477,00000468,00001563,00000102,00030113,00073957,00000076,00000052,00001797,00000219,00002582,00000000,00000153,00005693,00002022,00000419,00000000,00001189,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00200149,00006072,00000434,00001430,00005358,00029749,00070949,00000061,00000122,00002102,00000626,00002128,00000001,00010405,00006882,00001902,00000488,00000001,00001266,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00047796,00001676,00000141,00000613,00001395,00010567,00030313,00000040,00000048,00000752,00000241,00000555,00000000,00003676,00003471,00000410,00000171,00000000,00000327,00000000,00000000,00000000,                                                                                                                                        
R014,BROADWAY NASSAU STREET        ,00083738,00002319,00000167,00000642,00001057,00018859,00054277,00000026,00000066,00001350,00000418,00001346,00000000,00002837,00007962,00000938,00000391,00000000,00000530,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00072960,00002128,00000080,00000384,00001533,00012034,00031602,00000009,00000033,00000749,00000291,00002026,00000000,00002948,00002629,00000962,00000195,00000000,00000484,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00019309,00000747,00000039,00000150,00000074,00004534,00013115,00000008,00000005,00000301,00000095,00000441,00000000,00000166,00000739,00000204,00000098,00000000,00000127,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00090423,00003964,00000161,00000858,00001002,00014509,00054399,00000029,00000027,00000879,00000293,00002049,00000000,00002342,00003125,00001056,00000330,00000000,00000546,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00090362,00005789,00000565,00002650,00000049,00038544,00106275,00000081,00000055,00001671,00000100,00000560,00000000,00000111,00006504,00000253,00000160,00000000,00000298,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00032191,00001491,00000190,00000874,00000012,00012908,00029235,00000019,00000075,00001016,00000085,00000476,00000000,00000039,00004524,00000116,00000038,00000000,00000072,00000000,00000000,00000000,                                                                                                                                        
