     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,02/19/2011-02/25/2011,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00054826,00001511,00000232,00000665,00000206,00017092,00032273,00000000,00000000,00000000,00000408,00000746,00000000,00000811,00001925,00000502,00000127,00000000,00000395,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00014633,00000402,00000030,00000129,00000012,00003235,00011049,00000000,00000000,00000000,00000036,00000278,00000000,00000088,00000472,00000126,00000060,00000000,00000076,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003277,00000097,00000020,00000032,00000001,00001482,00001308,00000000,00000000,00000000,00000002,00000015,00000000,00000014,00000082,00000017,00000002,00000000,00000005,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008523,00000233,00000022,00000146,00000001,00003183,00004261,00000000,00000000,00000000,00000003,00000042,00000000,00000001,00000212,00000026,00000011,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009276,00000369,00000030,00000131,00000001,00003228,00005838,00000000,00000000,00000000,00000012,00000039,00000000,00000007,00000157,00000013,00000026,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009042,00000346,00000038,00000119,00000000,00004512,00005845,00000000,00000000,00000000,00000003,00000082,00000000,00000008,00000200,00000020,00000032,00000000,00000015,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006667,00000196,00000052,00000051,00000000,00002579,00003492,00000000,00000000,00000000,00000002,00000049,00000000,00000001,00000098,00000014,00000002,00000000,00000008,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006218,00000212,00000026,00000058,00000001,00002312,00002667,00000000,00000000,00000000,00000004,00000030,00000000,00000005,00000119,00000007,00000011,00000000,00000025,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00005289,00000166,00000028,00000054,00000003,00002286,00002700,00000000,00000000,00000000,00000003,00000014,00000000,00000000,00000091,00000021,00000011,00000000,00000009,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00083435,00002805,00000339,00000930,00000086,00028022,00052148,00000000,00000000,00000000,00000175,00000501,00000000,00000221,00001756,00000535,00000339,00000000,00000834,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00218677,00007136,00000480,00001624,00000081,00027290,00076247,00000000,00000000,00000000,00000182,00002117,00000000,00000163,00002325,00001875,00000444,00000000,00000891,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00189866,00005724,00000444,00001413,00002572,00027881,00074202,00000000,00000000,00000000,00000457,00001851,00000000,00007647,00002559,00002050,00000579,00000000,00001114,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00046417,00001635,00000171,00000570,00000598,00010359,00034032,00000000,00000000,00000000,00000170,00000501,00000000,00002716,00000837,00000433,00000232,00000000,00000378,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00079860,00002126,00000153,00000552,00000445,00017488,00054554,00000000,00000000,00000000,00000359,00001181,00000000,00002028,00002334,00000906,00000425,00000000,00000520,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00051621,00001516,00000037,00000237,00000614,00006397,00022594,00000000,00000000,00000000,00000195,00001408,00000000,00001939,00001667,00000796,00000187,00000000,00000222,00000000,00000000,00000000,                                                                                                                                        
R016,LEXINGTON AVENUE              ,00022633,00000944,00000051,00000174,00000047,00005986,00016646,00000000,00000000,00000000,00000071,00000318,00000000,00000144,00000593,00000256,00000121,00000000,00000193,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00065805,00003030,00000147,00000576,00000397,00009237,00041176,00000000,00000000,00000000,00000177,00001492,00000000,00001570,00001717,00000935,00000305,00000000,00000319,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00088881,00005486,00000584,00002528,00000020,00042522,00111930,00000000,00000000,00000001,00000089,00000519,00000000,00000108,00003753,00000283,00000239,00000000,00000306,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00030180,00001450,00000152,00000823,00000001,00013423,00029842,00000000,00000000,00000000,00000080,00000410,00000000,00000043,00002025,00000116,00000051,00000000,00000108,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00142192,00005574,00000330,00001260,00000446,00033131,00096489,00000000,00000000,00000000,00000433,00002664,00000000,00001152,00004551,00001173,00000548,00000000,00000765,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00081412,00003217,00000244,00000869,00000074,00021100,00071322,00000000,00000000,00000000,00000307,00001613,00000000,00000208,00003803,00000671,00000422,00000000,00000471,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00177136,00006741,00000589,00001980,00000593,00054637,00133776,00000000,00000000,00000000,00001388,00002182,00000000,00001244,00005331,00001115,00000590,00000000,00000904,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00143935,00004678,00000398,00001338,00000421,00028600,00088124,00000000,00000000,00000000,00000256,00001989,00000000,00001137,00002972,00001168,00000558,00000000,00000737,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00043974,00001263,00000189,00000562,00000169,00020787,00024573,00000000,00000000,00000000,00000053,00000149,00000000,00000644,00001276,00000162,00000078,00000000,00005177,00000000,00000000,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00062921,00001468,00000365,00001141,00000011,00039088,00044621,00000000,00000000,00000000,00000106,00000279,00000000,00000066,00002930,00000112,00000078,00000000,00000197,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00055555,00001565,00000084,00000419,00000902,00007833,00039800,00000000,00000000,00000000,00000193,00001058,00000000,00004644,00001837,00000741,00000264,00000000,00000274,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00044300,00001886,00000152,00000562,00000200,00011339,00039019,00000000,00000000,00000000,00000113,00000565,00000000,00001132,00001921,00000368,00000287,00000000,00000303,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00133166,00003996,00000295,00001075,00000657,00023484,00079636,00000000,00000000,00000000,00001039,00001743,00000000,00002629,00002265,00001134,00000572,00000000,00000762,00000000,00000000,00000000,                                                                                                                                        
R030,CHAMBERS STREET               ,00047580,00001782,00000147,00000509,00000338,00012899,00040489,00000000,00000000,00000000,00000157,00000579,00000000,00001417,00001119,00000465,00000200,00000000,00000245,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00099441,00004078,00000318,00000874,00001191,00021374,00043449,00000000,00000000,00000000,00000311,00001048,00000000,00004424,00002387,00001122,00000259,00000000,00000427,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00073791,00002506,00000210,00000740,00000113,00018273,00065946,00000000,00000000,00000000,00000289,00001246,00000000,00000221,00002404,00000669,00000370,00000000,00000303,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00180824,00005008,00000391,00001390,00000432,00060883,00093275,00000000,00000000,00000000,00000526,00001337,00000000,00000908,00004158,00001165,00000490,00000000,00001426,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00016194,00000903,00000109,00000285,00000021,00006892,00014413,00000000,00000000,00000000,00000038,00000102,00000000,00000037,00000542,00000104,00000050,00000000,00000168,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00053511,00002629,00000256,00000826,00000061,00018528,00043732,00000000,00000000,00000000,00000077,00000183,00000000,00000287,00001405,00000369,00000314,00000000,00000221,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00013385,00000727,00000084,00000238,00000000,00007077,00008130,00000000,00000000,00000000,00000012,00000018,00000000,00000005,00000546,00000008,00000022,00000000,00000026,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00009184,00000349,00000083,00000205,00000002,00008161,00007906,00000000,00000000,00000000,00000019,00000032,00000000,00000015,00000463,00000014,00000020,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00003615,00000191,00000020,00000085,00000000,00001297,00002713,00000000,00000000,00000000,00000002,00000015,00000000,00000002,00000093,00000023,00000032,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00011273,00000432,00000089,00000156,00000019,00005684,00007689,00000000,00000000,00000000,00000012,00000033,00000000,00000083,00000510,00000059,00000019,00000000,00000039,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00015444,00000880,00000126,00000343,00000001,00007477,00012331,00000000,00000000,00000000,00000080,00000086,00000000,00000015,00000523,00000105,00000040,00000000,00000039,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00040106,00001763,00000195,00000385,00000283,00011650,00029420,00000000,00000000,00000000,00001504,00000616,00000000,00001546,00001680,00000387,00000148,00000000,00000223,00000000,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00008310,00000222,00000040,00000078,00000046,00004115,00004072,00000000,00000000,00000000,00000071,00000104,00000000,00000243,00000191,00000059,00000018,00000000,00000078,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00047372,00001672,00000091,00000325,00000419,00009120,00039173,00000000,00000000,00000000,00000750,00000807,00000000,00002177,00001346,00000531,00000302,00000000,00000278,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00078431,00003561,00000208,00001113,00000246,00020339,00060623,00000000,00000000,00000000,00000435,00000715,00000000,00001128,00001780,00000667,00000402,00000000,00000400,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00075871,00002687,00000120,00000344,00001357,00007556,00027079,00000000,00000000,00000000,00000159,00000897,00000000,00003740,00001093,00001120,00000253,00000000,00000253,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00191245,00006279,00000382,00001095,00001905,00033462,00095076,00000000,00000000,00000001,00000661,00002183,00000000,00006400,00003818,00002148,00000800,00000000,00001116,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00091358,00003604,00000202,00000707,00000827,00018376,00068866,00000000,00000000,00000000,00000530,00001665,00000000,00003582,00003637,00001232,00000503,00000000,00000394,00000000,00000000,00000000,                                                                                                                                        
R048,42ND STREET & 3RD AVENUE      ,00027828,00000872,00000041,00000188,00000239,00004408,00018611,00000000,00000000,00000000,00000043,00000515,00000000,00000726,00001054,00000306,00000087,00000000,00000098,00000000,00000000,00000000,                                                                                                                                        
R049,51ST STREET & LEXINGTON AVE   ,00055002,00002460,00000170,00000492,00000057,00014981,00039853,00000000,00000000,00000000,00000232,00000967,00000000,00000239,00002387,00000523,00000286,00000000,00000507,00000000,00000000,00000000,                                                                                                                                        
R050,59TH STREET & LEXINGTON AVE   ,00058838,00003009,00000195,00000633,00000135,00017888,00050759,00000000,00000000,00000000,00000313,00000960,00000000,00000650,00002058,00000613,00000253,00000000,00000361,00000000,00000000,00000000,                                                                                                                                        
R051,59TH STREET & LEXINGTON AVE   ,00080367,00003786,00000229,00000871,00000098,00027809,00071105,00000000,00000000,00000000,00000285,00000845,00000000,00000588,00003100,00000804,00000363,00000000,00000410,00000000,00000000,00000000,                                                                                                                                        
R052,WOODLAWN ROAD                 ,00011031,00000582,00000120,00000269,00000008,00006565,00008004,00000000,00000000,00000000,00000023,00000059,00000000,00000008,00000474,00000052,00000020,00000000,00000024,00000000,00000000,00000000,                                                                                                                                        
R053,149TH STREET & 3RD AVENUE     ,00044674,00001443,00000315,00000821,00000002,00032972,00026197,00000000,00000000,00000000,00000059,00000126,00000000,00000030,00002099,00000039,00000026,00000000,00000101,00000000,00000000,00000000,                                                                                                                                        
R054,FIFTH AVENUE & 42ND STREET    ,00027436,00001124,00000052,00000264,00000085,00006166,00021203,00000000,00000000,00000000,00000117,00000490,00000000,00000166,00000687,00000260,00000116,00000000,00000128,00000000,00000000,00000000,                                                                                                                                        
R055,MAIN STREET                   ,00087132,00005843,00000474,00003483,00000019,00032968,00115165,00000000,00000000,00000000,00000216,00000666,00000000,00000097,00002775,00000258,00000139,00000000,00000238,00000000,00000000,00000000,                                                                                                                                        
R056,NEVINS STREET                 ,00025666,00001392,00000191,00000486,00000014,00011505,00017528,00000000,00000000,00000000,00000065,00000106,00000000,00000060,00000893,00000096,00000041,00000000,00000074,00000000,00000000,00000000,                                                                                                                                        
